1420210169.513291499 src/Dispatch.cc:152 in Dispatch::poll default NOTICE[31801:1]: Long gap in dispatcher: 106.9 ms
1420210169.514044102 src/CoordinatorSession.cc:105 in CoordinatorSession::getSession default NOTICE[31801:1]: Opened session with coordinator at infrc:host=f1,port=12246
1420210169.769485642 src/ClusterPerf.cc:1433 in fillTable default NOTICE[31801:1]: write rate for 1000000-byte objects: 0.8 kobjects/sec, 782.3 MB/sec
1420210171.769835643 src/ClusterPerf.cc:716 in readRandomObjects default NOTICE[31801:1]: time expired after 11642 iterations
1420210173.770747808 src/ClusterPerf.cc:830 in writeRandomObjects default NOTICE[31801:1]: time expired after 1605 iterations
1420210174.012378402 src/ClusterPerf.cc:1433 in fillTable default NOTICE[31801:1]: write rate for 100000-byte objects: 8.3 kobjects/sec, 828.0 MB/sec
1420210176.012441140 src/ClusterPerf.cc:716 in readRandomObjects default NOTICE[31801:1]: time expired after 91730 iterations
1420210178.016304104 src/ClusterPerf.cc:830 in writeRandomObjects default NOTICE[31801:1]: time expired after 13746 iterations
1420210178.016924118 src/Buffer.cc:440 in Buffer::getNewAllocation default NOTICE[31801:1]: buffer has consumed 7728 bytes of extra storage, current allocation: 4416 bytes
1420210178.016949114 src/Buffer.cc:440 in Buffer::getNewAllocation default NOTICE[31801:1]: buffer has consumed 15696 bytes of extra storage, current allocation: 8376 bytes
1420210178.214336452 src/ClusterPerf.cc:1433 in fillTable default NOTICE[31801:1]: write rate for 10000-byte objects: 101.0 kobjects/sec, 1013.1 MB/sec
1420210180.864141289 src/ClusterPerf.cc:830 in writeRandomObjects default NOTICE[31801:1]: time expired after 35977 iterations
1420210180.865743713 src/Buffer.cc:440 in Buffer::getNewAllocation default NOTICE[31801:1]: buffer has consumed 34224 bytes of extra storage, current allocation: 17664 bytes
1420210180.865764860 src/Buffer.cc:440 in Buffer::getNewAllocation default NOTICE[31801:1]: buffer has consumed 69552 bytes of extra storage, current allocation: 35328 bytes
1420210181.188936325 src/ClusterPerf.cc:1433 in fillTable default NOTICE[31801:1]: write rate for 1000-byte objects: 595.0 kobjects/sec, 612.8 MB/sec
1420210183.404387863 src/SessionAlarm.cc:222 in SessionAlarmTimer::handleTimerEvent default NOTICE[31801:1]: Waiting for WRITE to server at infrc:host=f3,port=12247 (ping succeeded)
1420210183.654376035 src/SessionAlarm.cc:222 in SessionAlarmTimer::handleTimerEvent default NOTICE[31801:1]: Waiting for WRITE to server at infrc:host=f3,port=12247 (ping succeeded)
